"","study_id","dataset_id","study_label","sample_group","tissue_id","tissue_label","condition_label","sample_size","quant_method"
"1","QTS000001","QTD000001","Alasoo_2018","macrophage_naive","CL_0000235","macrophage","naive","84","ge"
"2","QTS000001","QTD000002","Alasoo_2018","macrophage_naive","CL_0000235","macrophage","naive","84","exon"
"3","QTS000001","QTD000003","Alasoo_2018","macrophage_naive","CL_0000235","macrophage","naive","84","tx"
"4","QTS000001","QTD000004","Alasoo_2018","macrophage_naive","CL_0000235","macrophage","naive","84","txrev"
"5","QTS000001","QTD000005","Alasoo_2018","macrophage_naive","CL_0000235","macrophage","naive","84","leafcutter"
"6","QTS000001","QTD000006","Alasoo_2018","macrophage_IFNg","CL_0000235","macrophage","IFNg_18h","84","ge"
"7","QTS000001","QTD000007","Alasoo_2018","macrophage_IFNg","CL_0000235","macrophage","IFNg_18h","84","exon"
"8","QTS000001","QTD000008","Alasoo_2018","macrophage_IFNg","CL_0000235","macrophage","IFNg_18h","84","tx"
"9","QTS000001","QTD000009","Alasoo_2018","macrophage_IFNg","CL_0000235","macrophage","IFNg_18h","84","txrev"
"10","QTS000001","QTD000010","Alasoo_2018","macrophage_IFNg","CL_0000235","macrophage","IFNg_18h","84","leafcutter"
"11","QTS000001","QTD000011","Alasoo_2018","macrophage_Salmonella","CL_0000235","macrophage","Salmonella_5h","84","ge"
"12","QTS000001","QTD000012","Alasoo_2018","macrophage_Salmonella","CL_0000235","macrophage","Salmonella_5h","84","exon"
"13","QTS000001","QTD000013","Alasoo_2018","macrophage_Salmonella","CL_0000235","macrophage","Salmonella_5h","84","tx"
"14","QTS000001","QTD000014","Alasoo_2018","macrophage_Salmonella","CL_0000235","macrophage","Salmonella_5h","84","txrev"
"15","QTS000001","QTD000015","Alasoo_2018","macrophage_Salmonella","CL_0000235","macrophage","Salmonella_5h","84","leafcutter"
"16","QTS000001","QTD000016","Alasoo_2018","macrophage_IFNg+Salmonella","CL_0000235","macrophage","IFNg_18h+Salmonella_5h","84","ge"
"17","QTS000001","QTD000017","Alasoo_2018","macrophage_IFNg+Salmonella","CL_0000235","macrophage","IFNg_18h+Salmonella_5h","84","exon"
"18","QTS000001","QTD000018","Alasoo_2018","macrophage_IFNg+Salmonella","CL_0000235","macrophage","IFNg_18h+Salmonella_5h","84","tx"
"19","QTS000001","QTD000019","Alasoo_2018","macrophage_IFNg+Salmonella","CL_0000235","macrophage","IFNg_18h+Salmonella_5h","84","txrev"
"20","QTS000001","QTD000020","Alasoo_2018","macrophage_IFNg+Salmonella","CL_0000235","macrophage","IFNg_18h+Salmonella_5h","84","leafcutter"
"21","QTS000002","QTD000021","BLUEPRINT","monocyte","CL_0002057","monocyte","naive","191","ge"
"22","QTS000002","QTD000022","BLUEPRINT","monocyte","CL_0002057","monocyte","naive","191","exon"
"23","QTS000002","QTD000023","BLUEPRINT","monocyte","CL_0002057","monocyte","naive","191","tx"
"24","QTS000002","QTD000024","BLUEPRINT","monocyte","CL_0002057","monocyte","naive","191","txrev"
"25","QTS000002","QTD000025","BLUEPRINT","monocyte","CL_0002057","monocyte","naive","191","leafcutter"
"26","QTS000002","QTD000026","BLUEPRINT","neutrophil","CL_0000775","neutrophil","naive","196","ge"
"27","QTS000002","QTD000027","BLUEPRINT","neutrophil","CL_0000775","neutrophil","naive","196","exon"
"28","QTS000002","QTD000028","BLUEPRINT","neutrophil","CL_0000775","neutrophil","naive","196","tx"
"29","QTS000002","QTD000029","BLUEPRINT","neutrophil","CL_0000775","neutrophil","naive","196","txrev"
"30","QTS000002","QTD000030","BLUEPRINT","neutrophil","CL_0000775","neutrophil","naive","196","leafcutter"
"31","QTS000002","QTD000031","BLUEPRINT","T-cell","CL_0000624","CD4+ T cell","naive","167","ge"
"32","QTS000002","QTD000032","BLUEPRINT","T-cell","CL_0000624","CD4+ T cell","naive","167","exon"
"33","QTS000002","QTD000033","BLUEPRINT","T-cell","CL_0000624","CD4+ T cell","naive","167","tx"
"34","QTS000002","QTD000034","BLUEPRINT","T-cell","CL_0000624","CD4+ T cell","naive","167","txrev"
"35","QTS000002","QTD000035","BLUEPRINT","T-cell","CL_0000624","CD4+ T cell","naive","167","leafcutter"
"36","QTS000003","QTD000036","Bossini-Castillo_2019","Treg_naive","CL_0002677","Treg memory","naive","119","ge"
"37","QTS000003","QTD000037","Bossini-Castillo_2019","Treg_naive","CL_0002677","Treg memory","naive","119","exon"
"38","QTS000003","QTD000038","Bossini-Castillo_2019","Treg_naive","CL_0002677","Treg memory","naive","119","tx"
"39","QTS000003","QTD000039","Bossini-Castillo_2019","Treg_naive","CL_0002677","Treg memory","naive","119","txrev"
"40","QTS000003","QTD000040","Bossini-Castillo_2019","Treg_naive","CL_0002677","Treg memory","naive","119","leafcutter"
"41","QTS000004","QTD000041","Braineac2","putamen","UBERON_0001874","brain (putamen)","naive","102","ge"
"42","QTS000004","QTD000042","Braineac2","putamen","UBERON_0001874","brain (putamen)","naive","102","exon"
"43","QTS000004","QTD000043","Braineac2","putamen","UBERON_0001874","brain (putamen)","naive","102","tx"
